long	lat	str1	dip1	r1	str2	dip2	r3	mo	exp	mw	code	dip	rake	dip_rake	svg
126.68	4.43	263	22	174	359	88	68	8.79	23	5.26265925	061178B	20	175	20_175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_175.svg
122.37	8.23	36	36	129	171	63	66	3.32	26	6.980758722	061478A	35	130	35_130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_130.svg
122.37	8.28	37	20	124	182	73	78	9.91	25	6.63071577	061478C	20	125	20_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_125.svg
126.46	7.65	2	48	129	132	55	55	9.82	24	5.961407659	061678A	50	130	50_130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_130.svg
127.3	8.25	185	38	102	350	52	81	2.99	24	5.617114126	062278A	40	100	40_100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_100.svg
120.66	13.87	37	24	91	215	66	89	2.59	24	5.575533176	062878B	25	90	25_90	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_90.svg
121.6	22.01	224	36	123	5	61	69	8.64	26	7.257675828	072378A	35	125	35_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_125.svg
120.59	19.88	2	43	-104	201	48	-77	1.86	24	5.479675296	080478A	45	-105	45_-105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-105.svg
121.41	23.42	211	21	10	112	86	111	1.71	24	5.45533074	080978E	20	10	20_10	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_10.svg
120.34	16.38	268	19	-93	91	71	-89	11.83	23	5.348656496	082078A	20	-95	20_-95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_-95.svg
124.78	24.09	202	28	67	48	64	102	5.73	23	5.138769748	082978A	30	65	30_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_65.svg
121.73	24.61	33	28	149	151	76	65	3.13	25	6.297029558	090278A	30	150	30_150	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_150.svg
121.54	23.73	219	25	36	96	75	111	2.48	24	5.562967787	091078A	25	35	25_35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_35.svg
124.77	24.41	142	42	-80	308	49	-99	1.15	25	6.007131894	091178A	40	-80	40_-80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-80.svg
126.6	10.96	169	18	112	325	73	83	9.37	23	5.281159727	091478A	20	110	20_110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_110.svg
123.63	6.59	334	41	67	184	53	109	6.46	24	5.840155012	100178A	40	65	40_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_65.svg
123.66	6.68	185	37	-77	349	54	-99	1.37	24	5.391147045	103178A	35	-75	35_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-75.svg
126.45	8.02	119	29	-69	275	63	-101	10.28	23	5.30799541	112278B	30	-70	30_-70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-70.svg
122.72	8.52	102	22	-75	266	69	-96	4.23	24	5.717560245	120178C	20	-75	20_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_-75.svg
123.14	6.98	223	31	-117	74	63	-75	2.3	26	6.874485224	121278A	30	-115	30_-115	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-115.svg
122.63	23.19	239	53	158	343	72	39	3.56	26	7.000966665	122378B	55	160	55_160	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_160.svg
127.29	5.13	29	31	96	201	59	86	4.49	25	6.401497561	020779B	30	95	30_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_95.svg
124.66	5.33	294	31	56	153	64	109	8.98	24	5.935517558	021179D	30	55	30_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_55.svg
126.24	6.13	229	47	132	356	57	54	2.71	25	6.255312861	021179E	45	130	45_130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_130.svg
124.51	5.55	292	18	53	151	76	101	2.62	24	5.578867528	021979A	20	55	20_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_55.svg
124.57	12.58	195	81	176	286	86	9	6.85	24	5.857127048	022379B	80	175	80_175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\80_175.svg
121.3	19.93	356	20	61	207	73	100	3.44	24	5.657705628	031779A	20	60	20_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_60.svg
126.5	9.75	166	14	60	17	78	97	2.08	24	5.512042223	032179B	15	60	15_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_60.svg
123.29	6.94	229	30	-127	90	66	-71	10.74	23	5.320669521	040179B	30	-125	30_-125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-125.svg
123.57	19.43	123	77	-6	214	84	-167	1.86	24	5.479675296	040479A	75	-5	75_-5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_-5.svg
122.69	10.32	139	49	-23	245	73	-137	3.2	24	5.636766652	041279C	50	-25	50_-25	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-25.svg
123.66	5.56	100	31	-146	340	74	-64	8.27	25	6.578337006	041579A	30	-145	30_-145	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-145.svg
126.27	8.94	344	68	-12	78	79	-157	2.32	25	6.210325323	050179B	70	-10	70_-10	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_-10.svg
125.92	9.36	340	20	-86	156	70	-91	1.67	24	5.448477647	050179C	20	-85	20_-85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_-85.svg
126.25	11.86	55	28	95	229	62	87	4.26	23	5.052939733	051279A	30	95	30_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_95.svg
124.66	13.58	178	19	109	338	72	84	9.2	24	5.942525218	072279B	20	110	20_110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_110.svg
119.08	15.74	344	26	53	204	69	107	1.73	24	5.458697402	080879A	25	55	25_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_55.svg
121.64	18.76	169	73	-4	260	87	-163	1.3	26	6.709295568	082679A	75	-5	75_-5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_-5.svg
124.96	7.96	334	39	61	190	56	111	1.2	24	5.352787497	091179A	40	60	40_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_60.svg
126.65	9.59	155	24	75	352	67	97	2.92	24	5.610255234	100579B	25	75	25_75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_75.svg
126.71	9.53	185	32	118	333	62	74	1.57	24	5.430599768	100579C	30	120	30_120	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_120.svg
125.27	5.57	291	50	139	50	60	48	5.83	25	6.47711237	111979A	50	140	50_140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_140.svg
120.99	22.46	359	45	60	218	53	117	8.04	24	5.903504032	120279B	45	60	45_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_60.svg
124.55	13.75	152	21	67	357	71	98	5.11	24	5.7722806	122779B	20	65	20_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_65.svg
126.41	6.14	164	43	51	32	58	120	3.09	26	6.95997232	010280A	45	50	45_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_50.svg
126.41	5.81	348	31	86	173	59	92	8.51	24	5.91995304	010380A	30	85	30_85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_85.svg
126.56	5.98	175	20	69	17	71	97	8.42	24	5.916874728	010480A	20	70	20_70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_70.svg
126.29	5.73	14	33	134	145	67	65	8.86	24	5.931622481	010880A	35	135	35_135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_135.svg
127.17	6.13	138	35	49	5	64	115	3.74	25	6.348581068	022980A	35	50	35_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_50.svg
121.08	22.5	359	44	62	216	52	115	2.51	24	5.566449148	032180A	45	60	45_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_60.svg
122.03	16.01	226	33	124	7	63	70	4.39	25	6.394976347	033180B	35	125	35_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_125.svg
125.35	5.24	288	5	-144	162	87	-86	8.92	24	5.93357657	040380A	5	-145	5_-145	C:\OSGeo4W64\apps\qgis\svg\zfocmech\5_-145.svg
126.31	8.47	156	35	50	22	64	114	4.96	24	5.763654451	041380C	35	50	35_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_50.svg
126.9	4.5	166	38	78	2	53	100	1.62	24	5.439676676	042580A	40	80	40_80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_80.svg
126.69	9.63	155	21	66	1	71	99	1.54	25	6.091680481	060980C	20	65	20_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_65.svg
126.59	9.6	157	22	57	12	71	103	1.55	25	6.093554465	061580A	20	55	20_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_55.svg
126.94	9.4	154	17	58	7	76	99	2.84	26	6.93554556	061880D	15	60	15_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_60.svg
126.79	9.65	155	25	70	357	66	99	1.77	25	6.131982178	061980A	25	70	25_70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_70.svg
126.63	9.2	164	21	64	12	72	99	7.36	24	5.877918543	061980C	20	65	20_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_65.svg
126.73	9.24	161	23	80	352	68	94	13.46	24	6.052696707	061980D	25	80	25_80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_80.svg
125.95	6.63	79	32	16	335	82	121	7.48	25	6.549267732	070880A	30	15	30_15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_15.svg
124.93	23.83	234	20	104	39	71	85	2.63	24	5.579970499	071280D	20	105	20_105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_105.svg
120.7	13.77	331	33	100	139	58	83	6.74	24	5.852439931	091980A	35	100	35_100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_100.svg
126.17	5.79	317	35	56	176	62	111	2.4	24	5.553474161	092180A	35	55	35_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_55.svg
121.86	19.9	232	81	180	322	90	9	9.69	24	5.957549185	100280C	80	180	80_180	C:\OSGeo4W64\apps\qgis\svg\zfocmech\80_180.svg
121.66	24.06	280	12	164	25	87	78	2.25	24	5.534788345	101880A	10	165	10_165	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_165.svg
118.27	6.54	90	39	-104	288	52	-79	8.16	23	5.241126773	102380B	40	-105	40_-105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-105.svg
125.65	11.84	152	24	39	25	75	109	4.16	25	6.379395554	102680A	25	40	25_40	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_40.svg
121.98	23.6	295	17	137	67	79	78	5.81	24	5.809450755	110780A	15	135	15_135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_135.svg
126.49	4	107	17	57	321	76	99	2.18	24	5.525637662	111580A	15	55	15_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_55.svg
123.68	6.71	344	34	74	184	57	101	1.13	25	6.002052296	121280B	35	75	35_75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_75.svg
126.01	7.65	155	67	0	245	90	-157	8	24	5.902059991	121780C	65	0	65_0	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_0.svg
121.16	19.16	43	30	116	193	64	76	10.97	24	5.993471085	010781A	30	115	30_115	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_115.svg
121.71	24.17	91	38	-3	183	88	-128	9.68	24	5.957250238	012981A	40	-5	40_-5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-5.svg
118.73	14.1	358	44	-73	155	48	-106	1.75	24	5.462025366	013181B	45	-75	45_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-75.svg
126.47	5.55	166	38	58	24	58	112	1.59	24	5.43426475	020181D	40	60	40_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_60.svg
126.62	22.03	225	69	-172	132	83	-21	3.96	24	5.698463457	020781A	70	-170	70_-170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_-170.svg
122.74	23.38	231	20	103	37	70	85	2.11	24	5.516188304	021081A	20	105	20_105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_105.svg
127.18	9.81	139	39	39	17	67	122	9.08	24	5.938723899	021381A	40	40	40_40	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_40.svg
121.77	23.15	215	27	80	46	64	95	7.09	23	5.200430823	022081B	25	80	25_80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_80.svg
120.98	22.42	357	41	62	213	54	112	1.48	25	6.080174477	030281B	40	60	40_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_60.svg
125.55	11.86	161	34	68	7	59	104	1.18	24	5.347921338	031381B	35	70	35_70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_70.svg
120.93	13.98	12	27	137	142	72	69	3.32	24	5.647425389	031381A	25	135	25_135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_135.svg
123.23	14.91	94	27	11	355	85	116	3.51	24	5.663538078	041081C	25	10	25_10	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_10.svg
119.44	14.05	312	27	-114	158	65	-78	7.27	24	5.874356274	041181A	25	-115	25_-115	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-115.svg
125.41	25.25	111	13	104	277	77	87	6.06	24	5.821648416	041881B	15	105	15_105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_105.svg
120.23	13.21	301	24	34	180	77	110	2.01	24	5.502130705	050281B	25	35	25_35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_35.svg
126.58	5.52	317	39	111	111	54	74	3.75	25	6.349354178	051381A	40	110	40_110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_110.svg
126.61	5.48	299	54	150	48	66	40	3.66	23	5.00898739	051981A	55	150	55_150	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_150.svg
127.49	6.35	128	41	-100	322	50	-81	2.45	24	5.559444056	052681A	40	-100	40_-100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-100.svg
121.33	21.03	266	40	87	89	50	92	8.1	23	5.238990013	062881A	40	85	40_85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_85.svg
124.8	9.7	213	47	124	348	53	59	1.8	24	5.47018167	070481B	45	125	45_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_125.svg
120	14.54	210	47	-152	100	70	-47	9.53	23	5.286061934	072281A	45	-150	45_-150	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-150.svg
126.33	6.44	290	29	-167	188	84	-62	1.35	25	6.053555846	090381A	30	-165	30_-165	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-165.svg
124.17	9.87	163	47	-128	31	55	-57	10.23	25	6.639917089	090481A	45	-130	45_-130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-130.svg
122.7	4.56	227	14	-48	4	79	-100	1.26	25	6.033580363	101781D	15	-50	15_-50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_-50.svg
126.35	7.97	190	23	113	344	69	80	7.05	23	5.198792745	102381A	25	115	25_115	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_115.svg
126.32	22.94	29	23	-128	249	72	-75	7.64	23	5.222062239	110381C	25	-130	25_-130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-130.svg
121.36	15.55	328	19	-141	200	79	-75	7.08	23	5.200022172	111781C	20	-140	20_-140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_-140.svg
120.46	18.33	330	44	-75	129	48	-104	5.27	25	6.447873743	112281A	45	-75	45_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-75.svg
127.83	6.34	349	32	-91	170	58	-89	1.39	24	5.3953432	112681B	30	-90	30_-90	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-90.svg
125.62	23.55	113	75	-3	204	87	-165	4.49	25	6.401497561	121281A	75	-5	75_-5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_-5.svg
118.91	4.41	25	71	161	122	72	20	2.64	24	5.581069285	122581A	70	160	70_160	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_160.svg
128.91	25.95	195	23	40	67	75	108	9.59	23	5.287879071	010882B	25	40	25_40	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_40.svg
124.35	13.91	132	13	51	351	80	98	4.96	26	7.096987784	011182A	15	50	15_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_50.svg
124.33	9.93	67	47	-32	179	67	-133	4.64	24	5.74434532	011482B	45	-30	45_-30	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-30.svg
121.65	23.84	280	11	152	38	85	80	13.07	24	6.044183725	012382A	10	150	10_150	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_150.svg
124.53	14.07	125	15	41	355	80	101	10.47	25	6.646631121	012482A	15	40	15_40	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_40.svg
123.87	13.61	91	55	4	359	87	145	11.29	24	6.001795961	031282A	55	5	55_5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_5.svg
126.44	25.99	103	50	-138	343	59	-48	1.69	24	5.45192447	040982A	50	-140	50_-140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-140.svg
126.62	4.68	33	9	-35	158	85	-98	9.05	23	5.271099053	041582C	10	-35	10_-35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_-35.svg
120.56	19.72	185	37	-106	25	55	-78	4.1	25	6.375189238	041782A	35	-105	35_-105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-105.svg
120.55	19.73	190	31	-103	24	60	-82	6.42	23	5.171690019	041782B	30	-105	30_-105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-105.svg
120.51	19.7	163	42	-107	7	50	-75	2.51	25	6.233115814	041982A	40	-105	40_-105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-105.svg
119.65	14.9	338	44	63	194	51	114	1.72	24	5.457018965	051582B	45	65	45_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_65.svg
124.5	4.11	213	9	-102	45	81	-88	10.91	24	5.991883167	060482B	10	-100	10_-100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_-100.svg
125.95	4.67	31	41	-96	218	49	-85	1.51	24	5.419317965	070282C	40	-95	40_-95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-95.svg
120.53	14.1	30	27	156	141	80	65	1.79	24	5.468568687	070682A	25	155	25_155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_155.svg
125.6	5.73	270	14	-156	157	85	-77	2.79	24	5.597069469	071382B	15	-155	15_-155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_-155.svg
126.57	5.69	234	15	146	357	82	77	8.69	24	5.926013184	092482B	15	145	15_145	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_145.svg
126.4	6.68	323	30	85	149	60	93	1.24	24	5.362281123	092682C	30	85	30_85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_85.svg
122.38	23.84	201	27	60	54	66	104	8.37	24	5.915150305	102082A	25	60	25_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_60.svg
121.24	20.17	56	78	-173	325	83	-12	2.52	24	5.567600361	102782A	80	-175	80_-175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\80_-175.svg
127.91	4.67	265	4	19	156	89	94	2.34	24	5.546143905	110882A	5	20	5_20	C:\OSGeo4W64\apps\qgis\svg\zfocmech\5_20.svg
122.72	24.49	54	49	152	163	69	44	6.34	25	6.501392839	121782A	50	150	50_150	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_150.svg
121.17	19.7	344	30	62	196	64	105	1.57	25	6.097266435	122882C	30	60	30_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_60.svg
120.29	14.78	62	45	-153	312	71	-48	2.61	24	5.577760338	122982A	45	-155	45_-155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-155.svg
